name,cate1
"[슈퍼마트] 해태미니자유시간140g",15
"크린백 크린 이중지퍼백",16
"[슈퍼마트]오뚜기고추참치150g",15
"다이슨 무선청소기 DC62컴플리트/7종툴","05"
"홈 피트니스로 몸 가꾸자  튜빙밴드/바디쉐이퍼/헬스","09"
"유행어보다 재치 있는 우리 100대 속담 외 선택구매 (명화/관용어·고사성어/한국사/공자/맹자)",10
"루브르 박물관보다 재미있는 세계 100대 명화 외 재미있는 학습백과 시리즈",10
"[키즈앤파크] 어린이들의 놀이왕국!!",16
"후리공구[프리휠 분리공구] - 자전거 7단 후리휠 스프라켓 분리 결합 공구","09"
"몽블랑 스타워커 맨 EDT 50ml/75ml / 정품 / 본품 / 사은품증정","08"
"트리플에이/AAA/1301/Alstyle/남녀공용프리미엄반팔티/기본티/면티/단체티/무지티/AAA무지티",14
"남자 면바지 남성 와이드 밴딩팬츠 9부 슬랙스 조거팬츠 카고바지 배기바지",14
"[토프] 냉장고정리 10개 7,900원 무배",16
"[도서]2016 Win-Q 윙크 에너지관리기능사 단기완성 [개정1판2쇄]",93
"왕자 원터치4단조절 행거(38mm)/ 왕자행거",12
"바퀴제로. 전문가용개미약 페스트세븐앤트겔/잡스/맥스포스퀀텀",16
"3JI 캐논정품잉크 PG64+CL74 SET pg-64/74/e569","04"
"6년근 고려홍삼정(240g)...1일 진세노사이드 21.6mg",15
"오예스(12입)X4곽/간식/과자/초코파이/카스타드",15
"송염치약160X3/청아단 2080 페리오 죽염 클링스 미백",16
"동원/펭귄 꽁치 통조림/고등어 통조림/400g 6캔",15
"2080오리지널 치약 160g 9개 특가/페리오/청은차죽염",16
"어버이날 선물/리클라이너 소파/1인 의자/안락/가죽",12
"소니 MDR-XB70AP/헤드폰/이어폰/헤드셋/스마트폰/MP3","03"
"리큅 투명트레이 8단 식품건조기 LD-918TH","06"
"다이어트속옷/바디쉐이퍼/복부벨트/거들/슬림슈트/복대/숄더앤암쉐이퍼/",14
"[초특가]GLAM 실리콘누드브라/누브라/5cm/뽕브라/비키니/수영복/여름/여성/원피스/왕뽕/비치웨어",14
"토마토마 신상입고 롱티셔츠  퀄리티 좋은 기본티/무지티/반팔티/박스티/",14
"이탈리아 일리 캡슐커피",15
"남아정장/아동남방/흰남방/반팔/반바지/돌복/아동복",10
"뉴비아 NEWVIA 최신상 NVA-004 메모리폼 쿠션 가죽파우치 맥북파우치 11.6형 13.3형 14형 15.6형 고급파우치 방수","04"
"류가네전통소품 꽃석 바구니 한과박스 떡상자 한과바구니 곶감상자 폐백 예단함",18
"자전거라이트/스트랩/용품 24종","09"
" 1+1 증정  new 샤이니 풋 슈퍼 필링 리퀴드","08"
"*한솔제지공식총판* 한솔 복사용지 A4용지  2박스 (75g/5000매) -한솔제지정품/a4/a4용지/복사용지/밀크",18
"[2세트구매:써니파우치세트증정]좋은느낌 생리대 중형56매 / 화이트생리대56매 택일",16
"공기정화 선풍기안전망/선풍기망/선풍기커버",16
"삼성전자 NT270E5Q-KD3S[일반] UNI 삼성노트북2 NT270E5Q-KD3S 가방+마우스+당일발송","04"
"((무한도전 인형))당일출고 무한도전 뒹굴며웃는 강아지 인형 /정준하 인형/웃는 강아지 인형/장난감/완구",10
"인테리어 벽등 모음전 18000원/ 무료배송 벽등 외벽등",12
"(글로리조명)led세트/led방등+거실등+주방등/평형대별",12
"(글로리조명)led주방등/led조명/식탁등/펜던트조명",12
"[페브리즈] 섬유탈취제 리필 320ml x3개/상쾌한향/은은한향/허브향/다우니향",16
"[예약발송][미뇽베베정품]유아식탁의자_(4color) 유아용 ANTILOP 안티롭 트레이 받침 컵홀더",12
"가정용LED모듈/LG이노텍/서울반도체/자석증정/풀셋팅",12
"기저귀[플러스] 하기스 매직밴드 기저귀 ",10
"잘만 ZM-NS1000 잘만 ZM-NS1000 노트북쿨러/거치대/쿨러r","04"
"SONY 라스트 오브 어스: 리마스터드 (PS4)[일반] PS4 더 라스트 오브 어스 리마스터 / 소니공식대리점","04"
"특가)1+1 밀리 MiLi CARD50 카드형배터리 5000mA 아민",22
"위드후이린 라운드 나시 세트 소프트 가디건",14
"시마 X5C[일반] 국내AS X5C X9 X9S 신형드론 RC카 쿼드콥터 RC헬기",16
"락앤락 음식물 쓰레기통(2012년형)[3L(그린)] 락앤락 음식물 쓰레기통 처리기 휴지통 탈수기 홈쇼핑",16
"보급형 1.4V HDMI케이블/길이선택/TO DVI/변환젠더","02"
"미팩토리 3단 돼지코팩 10매/블랙헤드 3단코팩 모공피지","08"
"US다우니 에이프릴 고농축 섬유유연제3.06L/3.83L 2개",16
"짐보리 비누방울액(236ml)",10
"시골에서 직접키운 농산물로 만든 김치들입니다",15
"핑거너클/호신용너클/호신용품/호신봉/삼단봉/무기","09"
"감자고기 찐만두[1.5kg,2개] 사은품 1+1  아하 감자 만두 꼬물이 물 왕 메밀 전병",15
"해피터치 해피 헤어 트리트먼트[500ml] 정직한 천연샴푸-유기농 에코샴푸/지성/비듬/가려움","08"
"웅진 빅토리아 탄산수/탄산음료 4종 (500ml x 20페트) /트레비/씨그램/탄산/생수/스파클링워터/음료수",15
"로로텐 쉬폰/레이스/셔츠/블라우스/66~110/빅사이즈 여성의류",14
"아이피타임 H6005-IGMP ipTIME 공인판매점 H6005-IGMP 기가비트5포트허브","07"
"동원F&B 동원샘물 2L 2015[27개] 동원샘물 2리터x9병x3개/총27병",15
"[아미]여름 신상 가디건/니트가디건세트 향수증정/고퀄리티 스카시",14
"[마더케이]PPSU젖병/빨대컵/일회용젖병/젖꼭지/모유/분유/수유/젖병집게/젖병세정제",10
"최신 기저귀 샘플 / 기저귀 견본 / 하기스 마미포코 팸퍼스 오보소",10
"연애부적 복숭아 퍼퓸 샴푸&바디케어","08"
"우드블라인드 G판매1위 브라인드 이케아 암막 버티칼",12
"황사시즌 필수! 아이깨끗해♡","08"
"코디 허브가든 3겹 30롤 화장지 / 휴지",16
"SD-909[일반] 국산 고성능 다이나믹 마이크 SD-909 5M마이크선 포함","02"
"[오늘하루한정특가]황토의 보물 2015년 호박고구마 한정특가/꿀고구마 /밤고구마 특가판매",15
"요소수차량용10L/독일인증제품/생산물배상보험가입/유록스/유로6/배기가스저감",21
"(애플/케이블)정품악세사리 특가! (이어팟/케이블/충전기/애플정품/애플악세사리/애플/APPLE/라이트닝케이블/이어팟정품)",22
"지엘하이텍/식물재배용LED/식물성장램프/영양재/식물생장용/빛솔엘이디/PG410/PG210/PG311/PG102/10W전구",12
"[이즈앤트리]알로에수딩젤/알로에토너/알로에로션/제주알로에/진정/저자극/이즈스킨","08"
"[이즈앤트리]8%아하/5%바하/화학적각질제거제/살리실산/블랙헤드/모공/피지/이즈스킨","08"
"로로텐 셔츠/블라우스/남방 빅사이즈 여성의류",14
"A/H라인 플레어 롱스커트 66-130 빅사이즈여성의류",14
"갓볶은 신선한 원두커피 31종 1kg 빈스프레소",15
"AG1[5개] CR2032 AG13 LR44 수은건전지 수은전지 리튬건전지",16
"[11st특가]빅세일/404pcs/NO옵션/뉴꼬마사각블럭3 350pcs/사각블럭/블럭/블록/완구/장난감/퍼즐",10
"식탁의자/에펠의자/인테리어/책상의자/체어/원목",12
"[11번가 특가행사상품]남양 아기사랑 秀S 1/2/3/4단계x3캔/분유/이유식/무료배송",10
"신상추가 마바지/린넨/팬츠/슬랙스/조거/쿨/여름/특가/총알배송/해리슨/단체",14
"5/22 단하루 긴급공수 혜택! 여름 신상 아동내의 모음전 234종택1 동물원 캐니멀 보누맘 유아동내의 팬티",10
"BLMG블루밍홈 베이직입식책상1200MM/테이블/책상/컴퓨터책상/학생/인테리어책상/학생책상/사무용책상",12
"특 줌리얼키트2  7개 1set + 1set 더 치아미백","08"
"설빙 설빙 인절미설빙 (설빙) 인절미설빙",16
"휠라이트 자전거 휠LED 라이트 휠 싸이클 바퀴","09"
"브랜드 고기불판 모음/삼겹살/불판/구이판/그릴/석쇠",16
"미국산 커클랜드 페브릭 소프트너 섬유유연제/다우니 5.53리터/ 220회분/피죤 빨래세제/코스트코",16
"데일리앤.여름원피스.여름롱원피스.쉬폰원피스.플라워원피스.나시원피스.비치원피스.신혼여행.휴가패션",14
"아이디어상품/생활용품/정리용품/욕실용품/청소용품/슈즈렉/케이블타이/봉투집게/디자인상품",16
"아이디어 주방용품 모음전/냉장고정리용기/양념통/주방수납/주방정리/밀폐용기/보관용기/수납바구니/밥팩",16
"[페이크삭스]  10원!! /발목양말/등산/아동양말/페이크삭스/아동양말/정장양말/",14
"냉장고수납 실리콘 손잡이 장갑 다용도 전자렌지커버&주방용품 아이디어 상품/키친타올/행주/채반/보틀",16
"[무료배송]실내 가습기 대용/고급 스텐레스 미니 초미니 빨래건조대 접이식건조대/수건 아기옷 속옷전용",16
"갓볶은 신선한 원두커피(200g+200g)총400g/1~21번",15
"[1+1 하나더 택배무료배송]강화유리 방탄 액정보호필름/아이폰 5S SE 6S 플러스 갤럭시 S7 S6 S5 S4 A5 A7 J7 2016년 그랜드 맥스 홍미 베가 시크릿 노트 5 4 3 2 V10 G5 G4 G3 G2 Z4 Z3 아이언2 넥서스5X Q5 Q10 쏠",22
"16년신형 에어쿠션/내추럴/모이스처/인텐스커버/맨택1","08"
"[최종혜택가 40,000원][아프라모] 플리파 다이닝 휴대용 부스터/식탁의자",12
"본품40매+증정24매 매일유업 상하치즈 유기농 치즈/첫 치즈/아기 치즈/어린이 치즈",10
"[창안애] 콤비블라인드 판매1위 브라인드/롤스크린/거실창문/암막커튼커텐/이케아",12
"뚫어뻥/스프링청소기 하수구 변기막힘 씽크대 변기뚫기 관통기 뚜러뻥 3펑 하수구뚫는기계 하수구냄새차단",16
"왕자 네오스페이스(점보4단조절선반)-실버 (기존가:131900원)",16
"삼성정품 LG 마이크로 5핀 USB 고속충전 케이블 1m 1.5m 삼성정품 USB충전기 핸드폰 휴대폰 스마트폰 케이블 충전케이블 USB케이블 아이폰케이블 8핀 라이트닝케이블",22
"[초특가 무료배송 LED방등/LED주방등/LED욕실등] 공장직영 100%국산제품/LED등/조명/등기구",12
"특2급 호메르스, 광안리바다 1분",91
"100%무형광프리미엄핸드타올2겹/핸드타올/페이퍼타올/점보롤/화장지/50밴드/40밴드/30밴드/휴지/냅킨/",16
"[판매1위]최저가 막대풍선10쌍(20개) 응원용품 응원도구 막대풍선 체육대회용품 응원나팔 응원수술 운동회",16
"만국기/비닐만국기/수기/배너/오픈행사/개업행사/행사용만국기/운동회만국기/행사용품/오픈만국기/공단배너",16
"뱅가드 갤럭시기어S2 AnTI-Shock 강화 방탄필름 3장","03"
"롯데칠성 게토레이 레몬 240ml[30캔] 롯데칠성 게토레이 240mlx30캔/스포츠/이온/음료수/",15
"팔도 산타페 오리지널 150ml[30개] 산타페 175ml/레쓰비 150ml/싼타페/캔커피/음료수",15
"[베베숲] 아기물티슈 센시티브 엠보싱/플레인 80매/Premium No.1 아기물티슈",10
"미러 메탈 투명 핸드폰케이스/갤럭시S7/노트5/4/3/2/S6/S5/S4/S3/J7/J5/네오/엣지/아이폰/6/6S/플러스/K10/V10/G5/G4/G3 CAT6/A8/A7/A5/2016/홍미노트3/화웨이/쏠/루나/그랜드맥스/알파/베가/휴대폰케이스/폰케이스",22
"아날도바시니 드로즈10+1매 특가/남자/남성팬티/빅사이즈/아웃밴드",14
"빌리부트캠프/근력밴드/근력운동/튜빙밴드/다이어트","09"
"[페브리즈] 차량용 방향제 2ml x 3개",16
"[헬로키티 피터래빗 스카이힐] 신생아욕조/아기욕조",16
"[마더스베이비]회음부 링형방석",12
"스펙트라 S2+ 냉장가방증정/양쪽유축/2016년 신형/스펙트라유축기/스펙트라 유축기 부품",10
"[쿠첸] 1.7L 분유포트 무선전기주전자 CKT-C1700M  (커피포트/40도온도설정/스테인레스/스텐/안전뚜껑/3가지가열모드설정)","06"
"[CJ직배송] CJ 둥근 햇반 210gX24개_즉석밥/간편밥/사각큰햇반/흑미밥/발아현미밥/오곡밥/작은햇반/캠핑밥",15
"아이깨끗해 용기2개+리필4개 외 리필5개등 인기구성 총집합 어린이 손세정제 행사중","08"
"미국산 아이보리비누 16개 32개/다이알 세수 폼클렌징","08"
"목욕스펀지 증정+톨스토이 아기 컬러욕조등받이/신생아/샴푸의자/목욕그네/욕조의자",10
"[꿀딜]신지가토 사이드/소파테이블",12
"쿨바라클라바 쿨스카프 자외선차단  버프 자전거두건","09"
"크린세상 슈퍼매직 가루세제 10kg+10kg 총20kg- 세탁세제 세제",16
"[상품권행사/ WD총판] NEW WD My Passport Ultra - 2TB 외장하드 [웨스턴디지털 2.5형/ USB3.0]","07"
"i  콜맨 트레일 헤드2 코트 2000003209","09"
"JY-40WFG (듀플렉스) 벽걸이선풍기 리모컨형 JY-40WFG",24
"[제이베인]여름신상!단독특가!스커트 S~L/스커트/치마/플레어/미니/H라인/테니스스커트/레이스/청치마/",14
"챔피온 정품 맨투맨 후드티 후드집업 반팔티 반바지","09"
"기저귀[플러스] 하기스 보송팬티 기저귀",10
"모자 아동 스냅백 야구모자 군모 유아스냅백 페도라",10
"한경희 핸디형 스팀다리미 HI-400","05"
"스카트 빨아쓰는 타올 45매2+1롤",16
"[슈퍼마트] 페브리즈 다우니향",16
"[최대22% 쿠폰폭탄 적용]크롬 휀다몰딩/ 휀더몰딩/자동차용품/차량용품/크롬몰딩/EF쏘나타/스타렉스/카니발/트라제/레조/카렌스/그랜져xg/투싼ix/아반떼md/yf소나타",21
"◈푸드림◈모짜렐라 피자치즈",15
"[에티튜드]주방/젖병세제그린애플&바질",10
"[슈퍼마트]온더바디 3초 바디로션","08"
"최신제품[듀오덤3종]사은품/엑스트라씬(10매)/젤/CGF",16
"[슈퍼마트]맥심 화이트골드 160T",15
"팬택 베가 정품 듀얼 고속충전기 어댑터 2A / TA-430 / 갤럭시S6/S5/S4/S3/노트4/노트3/G3/LG/태블릿/아이폰/아이패드/핸드폰/스마트폰/USB 케이블",22
"[오버핏입고]반팔티/7부 레이어드티/반팔 티셔츠/면티/무지티/라운드티/기본티/단체티/빅사이즈/커플/남자",14
"[꿀딜]지리산메뚜기쌀 10Kg/20Kg",15
"이앤디몰샵 COMS(컴스) 수축 튜브 세트(100pcs)/T1814/HST-100C","04"
"커피[플러스] 맥심 커피믹스 320T 무배",15
"리얼터치콘돔100P울트라씬100P유니더스132P성인용품",16
"리스테린 750ml x 3개 특가/가그린 가글 치약 칫솔",16
"북유럽풍 DTP 바란스 모음전+링집게/커텐/주방커튼",12
"원룸커튼/140x160/찍찍이부착/커텐/가리개/작은창문",12
"사랑새  안토시아닌 헤어 매니큐어 230g/40컬러","08"
"차량용거치대/송풍구/스마트폰거치대/핸드폰/휴대폰",22
"진라면 오뚜기 진라면 40봉/진짜장/진짬뽕/라면/컵라면",15
"아이피타임 A2004NS-R[일반] .ipTIME A2004NS-R 기가/와이파이/무선/공유기/GIGA","07"
"[바다산업] 완도 미역350g-3봉/햇미역/산모미역/미역/iso인증업체/완도미역",15
"[무료배송][당일발송]OK캐쉬백300점+맥심 화이트골드 커피믹스 160T[모카골드/카누/아이스커피/현미녹차/담",15
"렉사 렉사 공식총판 MicroSD 300X 64GB/아답터증정","02"
"[슈퍼마트]해피바스 올리브비누AD 4입","08"
"[슈퍼마트]종이컵 2000개",16
"[슈퍼마트]코디 데코 화장지 40m 30롤",16
"무료배송 국내생산 종이컵 2000개 1Box/특별기획상품",16
"화이트골드/모카골드 총340T/온라인공식판매점/커피",15
"메디하임 스팀청소기/스팀/살균소독/청소용품","05"
"2015년 햅쌀 동송농협 철원오대쌀 20kg(싱싱장터)/당일도정/산지직송/5만원 이상 구매시 1만원 할인",15
"대한사료 곰표대한사료/빅도그15kg/진도 초특가판매",16
"코디 허브가든 3겹 30롤 x 3팩 /화장지 휴지 각티슈",16
"(체인점용)떡볶이소스(국민학교/엽기/국물/비법/양념)",15
"씨그램 탄산수 레몬/라임/플레인350mlx24PET",15
"[꿀딜]PC 커플러/케이블/분배기 24종!","07"
"신발정리 끝~ 신발장정리대 슈즈랙 20+5개 무료배송중입니다",12
"다우니/타이드/페브리즈",16
"추천상품[INTC-107X]노트북파우치 가방 케이스 9/10.1/11.6/12.5/13.3/14.1/15.6인치 무료배송 다양한 호환 당일출고 아이패드에어 스트림 아티브탭 그램 요가 맥북프로 에어 레티나 등","04"
"베이직 반팔 PK카라티셔츠 19색 S~3XL/긴팔/30수/20수/단체티/반티/기본/무지/유니폼/단체복/빅사이즈",14
"[꿀딜]베이킹/구연산/과탄산소다",16
"순수한면/6팩/릴리안/초흡수/숨쉬다/팬티라이너/오버나이트/더건강한순수한면/the건강한/생리대/보감",16
"(최저가) 니베아 데오드란트 200ml / 롤온 스틱 1+1","08"
"샤오미 대용량 보조배터리 10000mAh",22
"ABE-TBR06 초경량 롤테이블  캠핑테이블 백패킹테이블","09"
"갤럭시S6/S5/노트5/4/3/2/A7/A8/루나폰/핸드폰케이스",22
"웅진 빅토리아 탄산수 4종 (500mlx20페트) /트레비/씨그램/탄산/생수",15
"[11% 마일리지차감할인] 농심 백산수 2L x 12병 / 생수/삼다수",15
"[Promade] 원터치 스마트 정리함 3단",16
"[도서]소설 도쿄구울 공백",93
"[코치] Coach/가방/토트백/숄더백/크로스백/샤첼백/소호백/F24742/F21949/F70747/F70699/F70589/F51663/F50793/F49170/F48452/29561E/28681E/F28054/28208E/F27348/28207E/F25771/F25706/F24",14
"총각네 無항생 닭가슴살 뻑살",15
"1kg 원두커피 대용량/파격할인/당일로스팅/10+1행사/",15
"쟈뎅 까페리얼 칸타타 조지아  아메리카노 헤이즐넛 라떼 에이드 카라멜마끼아또 아이스커피10개입 20종",15
"직영특가15900원!![무료배송+!풀셋!+고무마모패드증정]최다차종보유!! 이중매트 자동차매트 벌집 엠보싱 컬러매트 자동차카매트 카매트/친환경 EVA/전차종주문제작가능/수입차/승합차/대형트럭/하이원 카매트",21
"전사이즈균일가/뉴 익스트림 하이브리드 와이퍼/4계절 깨끗한 와이퍼/관절구조 5세대와이퍼 저소음고품질/오토모빌코리아 차량용품 자동차용품",21
"히든창 우드블라인드 블라인드 브라인드 원목 나무 커튼 커텐 롤스크린",12
"2016 신상 여성 신발/스니커즈/플랫슈즈/슬립온/단화/로퍼/키높이/통굽/운동화/옥스퍼드/여성/여자",14
"폭죽/불꽃놀이세트 무료배송/보험가입/로망/단발/연발",16
"(LP-24-2)경첩용 문닫침방지/문닫힘방지/손끼임 방지(3개)",10
"(현대Hmall)[PHILIPS 필립스 드라이기 HP8232/00] 2200W 모발 보호 기능 음이온 쿨샷 볼륨 디퓨져","05"
"ANF 오가닉 유기농 2kg /사료/강아지/애견/애완/용품",16
"남양유업 아기사랑 수 엑스퍼트 1/2/3/4단계 750g 6캔",10
"노트북 멀티부스트 9.5mm/12.7mm SATA3 빠른 전송속도","04"
"네일파레트 블루 /네일아트/네일도구/네일용품-T602",18
"아크릴 단면큐빅 2~6mm 36색 /비즈공예/평면큐빅/네일",12
"(30%할인기획) 테이프크리너 리필",16
"크리넥스 촉촉로션티슈3겹 50매 10개 /100천연펄프/각티슈/곽티슈/화장지/휴지/키친타올/유한킴벌리",16
"써모스/텀블러/JNO-250/JNO-350/JNI-301/JNI-401/보온병/보냉병/JNL/JMY",16
"(총2개 1+1행사)+덴탈티슈 증정+궁중비책 로션1+1/크림1+1/바스1+1/선팩트/선크림/샴푸앤바스/베이비로션","08"
"닥터드레 소니 이어폰 호환 이어폰 고무캡 마개 덮개","03"
"싸파 릴 5조 받침대 원투릴낚시대5조/7조받침대낚시세트5/7개거치높이조절","09"
"[키친아트]보온병 1+1 할인특가 / 보온병 / 텀블러 / 보냉병 물병 보틀",16
"[독일직배송]아조나치약 25ml 12개/24개/36개 Ajona 독일치약 덴탈케어 빨간치약 아요나",16
"[꿀딜] 미니블럭 1+3 파격이벤트★",16
